Time,Voltage,Time,,,,,,,,
17:50:58.572,2.33,58.572,,,,,,,,
17:50:58.608,2.32,58.608,,,,,,,,
17:50:58.608,2.32,58.608,,,,,,,,
17:50:58.608,2.32,58.608,,,,,,,,
17:50:58.646,2.31,58.646,,,,,,,,
17:50:58.715,2.34,58.715,,,,,,,,
17:50:58.749,2.35,58.749,,,,,,,,
17:50:58.817,2.37,58.817,,,,,,,,
17:50:58.851,2.37,58.851,,,,,,,,
17:50:58.887,2.38,58.887,,,,,,,,
17:50:58.954,2.39,58.954,,,,,,,,
17:50:58.993,2.39,58.993,,,,,,,,
17:50:59.065,2.39,59.065,,,,,,,,
17:50:59.099,2.37,59.099,,,,,,,,
17:50:59.134,2.35,59.134,,,,,,,,
17:50:59.202,2.34,59.202,,,,,,,,
17:50:59.236,2.34,59.236,,,,,,,,
17:50:59.304,2.33,59.304,,,,,,,,
17:50:59.341,2.33,59.341,,,,,,,,
17:50:59.412,2.32,59.412,,,,,,,,
17:50:59.449,2.32,59.449,,,,,,,,
17:50:59.516,2.32,59.516,,,,,,,,
17:50:59.549,2.31,59.549,,,,,,,,
17:50:59.586,2.31,59.586,,,,,,,,
17:50:59.653,2.31,59.653,,,,,,,,
17:50:59.719,2.31,59.719,,,,,,,,
17:50:59.753,2.31,59.753,,,,,,,,
17:50:59.787,2.32,59.787,,,,,,,,
17:50:59.854,2.32,59.854,,,,,,,,
17:50:59.887,2.34,59.887,,,,,,,,
17:50:59.953,2.34,59.953,,,,,,,,
17:50:59.987,2.35,59.987,,,,,,,,
17:51:00.056,2.35,60.056,,,,,,,,
17:51:00.093,2.36,60.093,,,,,,,,
17:51:00.162,2.36,60.162,,,,,,,,
17:51:00.196,2.36,60.196,,,,,,,,
17:51:00.263,2.36,60.263,,,,,,,,
17:51:00.296,2.35,60.296,,,,,,,,
17:51:00.364,2.36,60.364,,,,,,,,
17:51:00.402,2.35,60.402,,,,,,,,
17:51:00.440,2.36,60.44,,,,,,,,
17:51:00.513,2.36,60.513,,,,,,,,
17:51:00.549,2.35,60.549,,,,,,,,
17:51:00.583,2.35,60.583,,,,,,,,
17:51:00.654,2.35,60.654,,,,,,,,
17:51:00.688,2.35,60.688,,,,,,,,
17:51:00.758,2.35,60.758,,,,,,,,
17:51:00.794,2.35,60.794,,,,,,,,
17:51:00.861,2.35,60.861,,,,,,,,
17:51:00.899,2.35,60.899,,,,,,,,
17:51:00.970,2.35,60.97,,,,,,,,
17:51:01.006,2.35,61.006,,,,,,,,
17:51:01.039,2.35,61.039,,,,,,,,
17:51:01.106,2.34,61.106,,,,,,,,
17:51:01.142,2.35,61.142,,,,,,,,
17:51:01.213,2.34,61.213,,,,,,,,
17:51:01.247,2.34,61.247,,,,,,,,
17:51:01.314,2.34,61.314,,,,,,,,
17:51:01.348,2.34,61.348,,,,,,,,
17:51:01.416,2.34,61.416,,,,,,,,
17:51:01.450,2.34,61.45,,,,,,,,
17:51:01.484,2.32,61.484,,,,,,,,
17:51:01.553,2.31,61.553,,,,,,,,
17:51:01.589,2.3,61.589,,,,,,,,
17:51:01.660,2.3,61.66,,,,,,,,
17:51:01.694,2.3,61.694,,,,,,,,
17:51:01.766,2.3,61.766,,,,,,,,
17:51:01.803,2.31,61.803,,,,,,,,
17:51:01.839,2.31,61.839,,,,,,,,
17:51:01.909,2.31,61.909,,,,,,,,
17:51:01.944,2.31,61.944,,,,,,,,
17:51:02.014,2.31,62.014,,,,,,,,
17:51:02.047,2.31,62.047,,,,,,,,
17:51:02.114,2.31,62.114,,,,,,,,
17:51:02.148,2.31,62.148,,,,,,,,
17:51:02.217,2.31,62.217,,,,,,,,
17:51:02.253,2.31,62.253,,,,,,,,
17:51:02.286,2.33,62.286,,,,,,,,
17:51:02.354,2.35,62.354,,,,,,,,
17:51:02.388,2.36,62.388,,,,,,,,
17:51:02.458,2.37,62.458,,,,,,,,
17:51:02.493,2.38,62.493,,,,,,,,
17:51:02.560,2.38,62.56,,,,,,,,
17:51:02.594,2.38,62.594,,,,,,,,
17:51:02.665,2.39,62.665,,,,,,,,
17:51:02.698,2.37,62.698,,,,,,,,
17:51:02.773,2.36,62.773,,,,,,,,
17:51:02.807,2.36,62.807,,,,,,,,
17:51:02.841,2.35,62.841,,,,,,,,
17:51:02.908,2.35,62.908,,,,,,,,
17:51:02.945,2.35,62.945,,,,,,,,
17:51:03.016,2.34,63.016,,,,,,,,
17:51:03.052,2.34,63.052,,,,,,,,
17:51:03.089,2.35,63.089,,,,,,,,
17:51:03.158,2.34,63.158,,,,,,,,
17:51:03.192,2.35,63.192,,,,,,,,
17:51:03.265,2.35,63.265,,,,,,,,
17:51:03.301,2.34,63.301,,,,,,,,
17:51:03.335,2.34,63.335,,,,,,,,
17:51:03.402,2.35,63.402,,,,,,,,
17:51:03.474,2.35,63.474,,,,,,,,
17:51:03.508,2.33,63.508,,,,,,,,
